500
3994
-3,49061
-3,59371
-3,23286
-2,1577
-0,729051
1,25927
3,65999
6,53201
9,34511
11,9815
14,338
16,1128
17,372
17,9685
17,8728
17,3647
16,6062
15,8256
15,3322
15,1112
15,2585
16,0833
17,3426
18,867
20,6123
22,2398
23,661
24,692
25,2738
25,237
24,6552
23,8451
22,9025
21,8053
20,8921
20,3545
20,1852
20,3472
20,7154
21,4812
22,2618
22,6595
22,8436
22,7258
22,144
21,1057
19,9716
18,7639
17,7771
16,9891
16,7314
16,967
17,7034
18,7565
19,9937
21,2898
22,3649
23,175
23,6242
23,5138
22,8731
21,9599
20,5975
19,1026
17,3794
15,4353
13,4617
11,4734
9,41876
7,38625
5,47893
3,74836
2,03251
0,633317
-0,493398
-1,355
-1,95887
-2,37862
-2,6511
-2,53327
-2,45963
-2,31235
-2,12088
-1,87786
-1,4802
-1,11199
-0,876335
-0,500763
-0,419757
-0,640682
-1,17827
-2,07669
-3,43906
-5,20646
-7,26106
-9,63968
-12,0551
-14,3454
-16,4147
-18,3515
-20,0084
-21,2309
-22,2471
-23,0719
-23,963
-24,8319
-25,5463
-26,2679
-27,1737
-27,9912
-28,7128
-29,4934
-30,4066
-31,2608
-32,2329
-33,5364
-35,0828
-37,0123
-39,03
-41,1215
-43,2571
-45,1717
-46,8434
-48,0217
-48,5151
-48,4341
-47,9333
-47,0938
-46,0628
-44,995
-43,964
-43,1171
-42,4765
-41,9094
-41,2466
-40,5765
-39,7296
-38,3525
-36,4968
-34,2949
-31,688
-28,8086
-25,8408
-22,9688
-20,5018
-18,4693
-16,6798
-15,4426
-14,7946
-14,3675
-14,2644
-14,3969
-14,6105
-14,6915
-14,6915
-14,6768
-14,6768
-14,6547
-14,5589
-14,4558
-14,2865
-14,0582
-13,6973
-13,4322
-12,9094
-12,1509
-11,304
-10,516
-9,62495
-8,69707
-7,79128
-6,93704
-6,33317
-5,68513
-5,05181
-4,30067
-3,58634
-2,79102
-1,75267
-0,522855
1,10462
2,82047
4,64678
6,62038
8,45405
10,2435
12,0846
13,5132
14,6105
15,5089
16,1349
16,5325
16,7682
17,1069
17,4899
17,9023
18,3957
18,7933
19,2867
19,6255
19,677
19,3898
18,6313
17,372
15,6709
13,7489
11,6354
9,35248
7,05486
4,91926
3,09295
1,45074
0,0441849
-1,13408
-2,09142
-2,77629
-3,19604
-3,38015
-3,46115
-3,29178
-2,9383
-2,41544
-2,06933
-1,78213
-1,81158
-2,1577
-2,86466
-3,89564
-5,10336
-6,56146
-7,81337
-8,85908
-9,50713
-9,6765
-9,52185
-8,90327
-7,99747
-6,9444
-5,81768
-4,7057
-3,58634
-2,53327
-1,355
-0,103098
1,34764
2,90148
4,75725
6,58356
8,35095
9,65441
10,5234
10,8548
10,516
9,50713
7,91647
6,09016
4,13129
2,2387
0,898427
-0,095734
-0,382936
0,0515491
1,19299
2,88675
5,11809
7,57772
10,0521
12,5853
14,9713
17,1364
18,9848
20,4429
21,7611
22,8878
23,6758
24,4564
25,156
26,0544
26,997
27,9838
29
29,9721
30,8632
31,6511
32,1004
32,255
31,9604
31,4081
30,4655
29,0442
27,1664
25,1633
22,8362
20,2072
17,3426
14,4853
11,3629
8,31413
5,2801
2,21661
-0,861606
-3,68208
-6,36263
-8,94009
-11,2672
-13,4028
-15,2733
-16,7387
-18,0716
-19,1615
-19,8611
-20,3545
-20,627
-20,8406
-21,0247
-21,2309
-21,6285
-22,1661
-22,7847
-23,6316
-24,7067
-25,9071
-27,2106
-28,4404
-29,707
-30,9
-31,9457
-32,8736
-33,4922
-34,0813
-34,5232
-34,7809
-34,8914
-34,9135
-34,7956
-34,7809
-34,8914
-34,8693
-35,0239
-35,289
-35,6499
-35,9665
-36,4673
-36,8208
-37,1816
-37,7708
-38,1537
-38,4409
-38,8312
-39,1037
-39,3541
-39,3909
-38,9711
-38,0359
-36,5557
-34,3022
-31,4597
-27,6966
-23,4107
-18,7123
-13,9256
-9,16837
-4,74252
-0,846878
2,26816
4,76461
6,56883
7,89438
8,7928
9,60286
10,5234
11,5912
12,7105
14,0434
15,6636
17,0407
18,16
18,9112
19,1321
18,7197
17,836
16,319
14,5516
12,6663
10,759
8,94745
7,65872
6,64247
6,01652
5,72195
5,81768
5,91342
6,0607
6,17853
6,13434
5,83241
5,39056
4,88244
4,48477
4,02819
3,64526
3,34333
3,27705
3,28441
3,30651
3,29914
3,26232
3,00458
2,69528
2,14297
1,62748
1,10462
0,530219
0,0294566
-0,449214
-0,913155
-1,26663
-1,7674
-2,2608
-2,72474
-3,54216
-4,32276
-4,96344
-5,44948
-6,00179
-6,14171
-5,8545
-5,33901
-4,69833
-3,88091
-2,85729
-1,78949
-0,83215
-0,00736416
0,729051
1,48756
2,22398
2,82047
3,42433
4,05765
4,49214
4,69097
4,53632
3,91773
2,69528
1,0899
-0,935248
-3,30651
-5,69986
-7,725
-9,52922
-10,8253
-11,2893
-11,1714
-10,5307
-9,41139
-8,08584
-6,95913
-5,93551
-5,30219
-5,10336
-5,3832
-5,78086
-6,64983
-7,73973
-8,44669
-8,8959
-9,00636
-8,56451
-7,66609
-6,39945
-4,47004
-2,18715
0,228289
2,73947
5,29483
7,63663
9,72069
11,2672
12,4012
12,9462
13,0714
12,821
12,1435
11,061
10,0594
8,94745
7,70291
6,77502
6,17116
5,64831
5,47157
5,64831
6,08279
6,66456
7,53353
8,63079
9,79433
10,9652
12,2981
13,4469
14,5958
15,8992
17,0186
17,917
18,9332
19,7654
20,5239
21,3781
21,9746
22,3576
22,5122
22,6521
22,527
22,1956
21,6801
20,9289
20,1999
19,4193
18,4693
17,4825
16,6062
15,6783
14,662
13,6311
12,6663
11,4439
10,0742
8,74862
7,29788
5,69986
4,25648
2,81311
1,53174
0,375572
-0,581768
-1,39183
-2,12824
-2,64373
-2,97512
-3,58634
-4,21966
-4,7867
-5,53785
-6,34054
-7,2316
-7,9312
-8,52033
-8,74862
-8,52033
-7,89438
-6,75293
-5,02972
-2,9383
-0,405029
2,39335
5,16964
7,9091
10,5749
12,8578
14,8167
16,4442
17,6224
18,3515
18,8228
19,0216
18,8154
18,5282
17,9685
17,2689
16,4221
15,3395
14,2128
12,9609
11,6575
10,2804
8,87381
7,51144
6,42154
5,6704
5,0739
4,79407
4,81616
5,27274
5,90605
6,7382
7,78391
8,82962
9,77224
10,7517
11,5691
12,2319
13,0125
13,5132
13,9845
14,6399
15,2143
15,8477
16,5546
17,1585
17,6151
18,0643
18,3883
18,4914
18,3957
18,1158
17,7771
17,3573
16,886
16,5325
16,2085
15,7593
15,2733
14,8756
14,3675
13,6237
12,6884
11,5691
10,3908
9,2052
7,99011
6,85603
6,01652
5,47893
5,2801
5,58939
6,19326
6,95176
8,02693
9,12419
9,95634
10,6044
11,0978
11,1272
10,9726
10,516
9,75751
8,97691
8,24049
7,54826
7,01068
6,63511
6,63511
6,87812
7,2316
7,59981
8,07112
8,61606
8,76335
8,91799
8,77071
8,28468
7,58508
6,74557
5,81032
4,74988
3,77045
2,86466
2,15033
1,62748
1,14881
0,905791
0,802693
0,751144
1,02362
1,52438
1,97359
2,68792
3,60844
4,60996
5,47157
6,11961
6,30372
5,96497
4,92662
3,17395
0,640682
-2,4449
-6,00915
-9,47767
-12,8578
-15,8182
-17,998
-19,11
-19,4487
-19,0511
-17,755
-15,9508
-13,7931
-11,4071
-9,14628
-7,11378
-5,16964
-3,41697
-2,02514
-0,751144
0,412393
1,4581
2,43017
3,44643
4,3154
5,11072
5,75141
6,12698
6,41418
6,52464
6,46573
6,22271
5,97233
5,81032
5,74404
5,84714
6,04597
6,40682
6,98122
7,5188
8,05639
8,2184
8,2184
7,96065
7,35679
6,451
5,47893
4,46268
3,65999
3,10031
2,99721
3,24759
4,07974
5,44211
7,00331
8,86644
10,8695
12,7547
14,5442
16,0023
17,3205
18,1379
18,8228
19,1468
19,2794
19,2278
19,0216
18,8449
18,3957
17,9244
17,4457
16,8197
16,0244
14,9713
13,9183
12,6443
11,0831
9,37457
7,54826
5,92815
4,28594
2,76892
1,59802
0,699595
0,26511
0,198832
0,324023
0,751144
1,32555
2,09878
2,80574
3,35069
3,91773
4,45531
4,94135
5,47893
6,10489
7,00331
7,9312
9,02846
10,1625
11,4954
12,7253
13,7194
14,4337
14,6252
14,3748
13,5721
12,1656
10,435
8,20367
5,81032
3,33596
0,824786
-1,23718
-2,93093
-4,01347
-4,55105
-4,4995
-3,79254
-2,62164
-1,09726
0,537583
2,09878
3,5348
4,55105
5,11809
5,11072
4,73515
4,06501
3,29914
2,37126
1,67166
1,12672
1,03098
1,19299
1,46547
1,84104
2,12088
1,80422
0,92052
-0,677502
-2,91621
-5,86187
-9,24202
-12,7694
-16,1201
-19,1247
-21,3119
-22,5638
-22,8068
-22,0188
-20,4576
-18,1453
-15,5973
-13,0346
-10,7148
-8,70443
-7,26106
-6,39945
-6,05334
-6,13434
-6,31108
-6,56146
-6,64247
-6,53937
-6,04597
-5,13282
-3,98401
-2,42281
-0,802693
0,780601
2,37126
3,69681
4,86771
5,81032
6,44364
7,09905
7,55562
8,13739
8,58661
9,30829
10,192
11,2966
12,4528
13,7194
15,0376
16,1717
17,1511
17,9759
18,4914
18,705
18,7639
18,5798
18,3809
18,1306
17,8286
17,5561
17,3573
17,4089
17,4236
17,4531
17,3794
17,3426
17,2027
16,9744
16,6135
16,2232
15,9066
15,7667
15,5236
15,3985
15,3395
15,2217
14,964
14,4337
13,6679
12,6001
11,0978
9,33039
7,46725
5,51575
3,78518
2,29762
1,19299
0,508127
0,272474
0,272474
0,441849
0,684867
0,795329
0,670138
0,309295
-0,515491
-1,53911
-2,8352
-4,33749
-5,9797
-7,58508
-9,16837
-10,6117
-11,9815
-13,0714
-13,8741
-14,3969
-14,6694
-14,5074
-14,0214
-13,1008
-11,79
-10,435
-8,98427
-7,5409
-6,39209
-5,59676
-5,26537
-5,16227
-5,3832
-5,81032
-6,11961
-6,18589
-6,04597
-5,42002
-4,21966
-2,71737
-0,86897
1,12672
3,01194
4,77197
6,20062
7,15796
7,86492
8,18158
8,15212
8,05639
7,74709
7,22424
6,54674
5,72931
4,73515
3,35806
1,67166
-0,095734
-1,9515
-3,89564
-5,58939
