500
3994
-6,18154
-4,92866
-3,59777
-1,88176
-0,404628
1,31138
3,14927
4,91403
6,58129
8,12668
9,51606
10,3936
11,0468
11,1931
10,9786
10,5447
9,91581
9,30644
8,89206
8,76531
8,95543
9,80856
11,1833
12,7287
14,6592
16,6141
18,4179
19,8804
21,0163
21,3331
21,3185
20,6263
19,6366
18,3155
16,9066
15,5757
14,7567
14,0498
13,5282
13,655
14,2205
14,7372
15,3856
15,9121
16,268
16,3655
16,2875
15,761
15,1808
14,5568
13,9913
13,8695
13,7427
14,006
14,63
15,4392
16,4581
17,321
18,0766
18,4617
18,5982
18,5154
17,906
17,1455
16,1949
15,3466
14,4983
14,0498
13,6013
13,4551
13,6208
13,889
14,2887
14,7323
14,8347
14,9322
14,9956
14,8591
14,4691
14,0255
13,6891
13,3722
13,0992
12,8506
12,6897
12,836
12,641
12,5532
12,212
11,5928
10,9103
10,1254
9,19431
8,24368
7,37105
6,87867
6,63979
6,77142
7,17117
7,93168
8,76043
9,83781
10,8908
11,5392
11,9195
12,0657
11,9975
11,6367
10,8859
10,2327
9,28206
8,37043
7,5173
6,47404
5,35278
4,0414
2,72027
1,10176
-0,482628
-2,11576
-3,97803
-5,49416
-6,81042
-8,01455
-8,72631
-9,04806
-9,11631
-9,09681
-8,78481
-8,44355
-8,32168
-8,1998
-8,11205
-8,35093
-8,56056
-8,80431
-9,16993
-9,30644
-9,02368
-8,47768
-7,8293
-6,68367
-5,26991
-3,84152
-2,20839
-0,741005
0,750755
1,79889
2,51552
3,09565
3,23215
3,1054
2,77389
2,34002
1,89151
1,49663
1,12126
0,858006
0,828755
1,01888
1,35038
1,75989
2,51064
3,19802
4,0219
4,90916
5,93779
6,76167
7,5173
8,22905
8,64831
9,00906
8,92131
8,67268
8,46793
8,03405
7,34667
6,67879
6,19129
5,67454
5,42104
5,18703
4,94816
4,96278
4,77266
4,81653
4,85553
4,5679
4,2754
4,00728
3,73427
3,49052
3,2809
3,33452
3,50027
3,71965
4,52403
4,83603
5,30403
5,74766
5,87441
5,64041
4,96278
4,01703
2,53014
0,770255
-0,940881
-2,77877
-4,48015
-5,88904
-6,81529
-7,40517
-7,65867
-7,43442
-6,9713
-6,36192
-5,57216
-4,98228
-4,62153
-4,3729
-4,4509
-4,78728
-5,37228
-6,11816
-7,09805
-8,01455
-8,91156
-9,76469
-10,3546
-10,9737
-11,2321
-11,4563
-11,4319
-11,2516
-11,1589
-10,7397
-10,3692
-9,82806
-9,18943
-8,3753
-7,3613
-6,20592
-4,87503
-3,56852
-2,33514
-1,34551
-0,624004
-0,438753
-0,73613
-1,69651
-3,21265
-5,32353
-7,60505
-10,3497
-13,109
-15,5465
-17,7841
-19,6318
-20,6506
-21,3624
-21,3429
-20,7676
-19,4124
-17,711
-15,4539
-13,0505
-10,2278
-7,28817
-4,2559
-1,23338
1,67214
4,43628
7,02005
9,64281
11,8268
14,0303
16,0584
18,1741
20,0413
21,728
23,3222
24,6043
25,6378
26,2667
26,3788
26,096
25,1698
23,9998
22,3666
20,597
18,2619
16,2241
14,0693
11,8902
9,94994
8,23393
6,25467
4,76778
3,29552
1,65751
-0,0780005
-2,03776
-4,20228
-6,42529
-9,23331
-12,0852
-15,1565
-18,14
-21,0211
-23,7268
-25,8815
-27,6414
-28,7042
-29,1039
-29,2014
-28,9382
-28,2606
-27,3782
-26,5543
-25,9254
-25,4964
-25,2819
-25,277
-25,4428
-25,8669
-26,4568
-26,7542
-27,5244
-27,8559
-28,4068
-28,8212
-29,0747
-29,3769
-29,4744
-29,2648
-29,2014
-29,0698
-28,6944
-28,5092
-28,1728
-27,9729
-27,9729
-28,1533
-28,4897
-28,9041
-29,6304
-30,3032
-30,8492
-31,5853
-32,0241
-32,1898
-32,2922
-31,8437
-30,7127
-29,3769
-27,5244
-25,2234
-22,3666
-19,232
-15,8536
-12,5581
-9,34544
