500
3994
-20,7326
-18,2967
-16,8051
-15,7308
-13,8833
-12,6996
-12,1727
-10,6674
-8,86781
-8,01251
-6,58928
-4,59813
-3,15437
-2,10063
-0,0410547
1,45744
2,4496
4,32443
6,84245
8,58043
11,0848
14,6976
17,8041
20,7942
24,626
27,404
28,9093
30,0794
30,5242
28,5946
25,9603
22,9906
18,6457
13,5549
9,38784
4,83761
0,273698
-2,82593
-4,96078
-7,21878
-8,13567
-7,9783
-7,93724
-7,87566
-6,69876
-6,1582
-6,41137
-6,41137
-6,45243
-7,96461
-9,31942
-10,2226
-11,7827
-13,5686
-13,9654
-14,3897
-14,8276
-13,7465
-11,7074
-10,2226
-7,89619
-4,60497
-1,80641
0,7253
4,09178
6,76034
8,58043
10,7016
12,898
13,6781
14,7113
16,1003
16,5108
16,3877
16,9898
16,6682
15,5187
14,9713
14,4376
12,8706
11,7416
11,5022
10,9137
10,291
11,2421
11,9743
12,4943
13,9312
15,6487
16,2234
16,9624
18,0572
18,0572
17,3251
17,3251
16,4492
15,0055
14,4307
14,417
13,6438
13,5754
14,7044
15,6282
16,2577
18,0778
19,5215
20,2263
21,4511
22,5732
22,3543
22,279
22,3406
21,369
19,8363
19,111
17,4619
15,0534
13,288
11,8374
9,34679
7,40353
6,30874
4,76919
3,18174
2,76435
1,95694
0,506341
-0,294225
-0,957943
-3,03805
-4,84445
-6,1582
-8,12883
-10,1268
-10,6195
-11,1463
-11,3311
-9,90787
-7,02035
-4,5297
-0,875833
4,09178
8,62149
12,8091
17,7083
21,5332
24,4618
27,3766
29,8126
30,661
31,311
31,9884
31,5574
30,3189
29,6346
27,8419
25,016
22,3201
19,501
15,2039
11,0848
7,40353
3,1749
-1,3548
-4,4818
-7,79355
-11,2353
-13,5344
-14,896
-16,8051
-17,6535
-17,2909
-16,9898
-16,2577
-13,9381
-11,4816
-9,2852
-5,97346
-2,01852
0,752669
3,89335
7,40353
9,95576
11,9811
14,5334
16,2987
17,5509
19,4189
21,7932
23,3191
25,3171
28,2593
30,7089
32,9122
35,9434
38,0919
39,3167
40,5552
41,2668
40,1857
38,5161
36,4566
32,8232
28,0814
23,6407
18,4883
12,7406
8,00567
4,07126
0,0957943
-2,29222
-2,89436
-2,92857
-2,26485
0,177904
2,63434
4,65971
7,1093
9,38784
9,91471
10,1474
10,1679
8,75833
6,61665
5,09762
3,0312
0,342122
-1,21796
-1,81325
-2,96962
-3,07226
-1,88852
-0,732142
0,567923
2,97647
4,94025
6,40453
8,02619
9,6547
9,62733
9,45626
9,32626
8,19725
6,3019
5,15236
3,25701
0,875833
-0,9511
-2,29906
-4,78287
-6,79455
-8,19041
-10,1131
-12,4054
-13,6165
-15,1834
-17,1677
-18,372
-18,892
-20,2673
-21,0268
-20,9379
-21,2253
-21,7727
-21,0679
-20,8079
-21,3074
-21,0611
-20,411
-20,9379
-21,239
-21,0816
-21,5948
-22,5117
-22,5048
-22,9222
-24,017
-24,0375
-23,4354
-23,6475
-23,2164
-21,7727
-20,63
-19,6036
-17,4003
-15,5255
-14,4307
-12,5764
-10,4279
-9,57259
-8,44358
-6,71244
-5,88451
-5,50817
-4,18758
-3,16121
-3,10647
-2,20327
-0,588451
-0,00684245
0,957943
2,78488
4,126
4,81708
6,67139
7,73881
7,8346
8,34779
8,90203
8,02619
7,36248
7,34195
6,58244
5,56291
5,82977
5,78871
5,17289
5,50133
6,4319
6,3019
6,41822
7,30774
7,4788
7,19141
8,01251
8,45042
8,19725
9,03203
10,5032
11,0232
12,1864
14,5744
16,6545
18,413
21,5879
24,4344
26,3982
29,2309
32,1732
33,7401
35,1086
36,8329
37,0792
36,4018
36,1008
34,7186
32,139
30,0999
28,3825
25,7002
23,6064
22,929
22,3132
22,1627
23,7844
25,7276
27,1919
29,7715
32,8438
34,5749
35,9708
37,5993
37,7224
36,6482
35,9365
34,0822
30,9895
28,5056
26,3708
23,1548
20,4863
19,0699
17,1745
15,1492
14,4513
13,3222
11,3858
10,0037
8,73097
6,11031
3,66071
1,79956
-0,650033
-3,27069
-4,43391
-5,67923
-7,07509
-7,34879
-6,7535
-7,00667
-6,91772
-6,28821
-6,57559
-7,74565
-8,26568
-9,73681
-12,378
-14,6155
-16,3945
-19,1246
-21,2869
-22,2037
-23,2438
-24,1402
-23,408
-22,758
-22,6553
-21,6427
-20,2194
-20,2058
-20,0963
-19,4873
-19,8705
-21,0405
-21,2321
-22,1216
-23,6954
-24,4549
-24,7012
-25,7413
-26,4187
-25,9671
-25,8097
-25,6592
-24,2086
-22,8264
-21,8822
-20,0894
-17,6535
-16,3329
-14,7523
-12,5285
-11,1874
-10,6058
-9,46311
-8,84729
-9,20994
-9,07309
-8,40937
-8,62833
-8,51201
-7,1093
-6,0282
-5,09762
-2,87383
-0,827936
0,478971
2,34696
4,59128
5,63818
6,52085
8,05356
8,80623
9,04572
10,3184
11,1669
11,4064
12,2138
13,7123
14,0475
14,4513
15,5187
15,6966
14,985
14,9029
14,287
12,4875
11,249
10,2705
8,08093
6,11715
5,36448
4,15337
2,62066
2,4017
2,13484
1,28638
1,42323
2,27854
2,12116
2,21695
3,31859
3,8044
3,81124
4,72129
5,3029
5,0292
5,16605
5,94609
5,59712
5,42606
6,1582
6,40453
6,39085
7,36248
8,32726
8,53938
9,54522
11,1806
11,8032
12,4943
14,0886
15,2039
15,8266
17,4482
18,7073
19,1383
20,2194
21,7727
21,7111
21,8069
22,5185
22,4843
21,8479
22,0395
21,93
20,8763
20,6368
20,9105
20,0689
19,1931
18,9399
17,6125
15,4366
13,6644
11,2285
7,28037
3,61966
0,232643
-4,26969
-8,63517
-11,8306
-15,2792
-18,7073
-20,6026
-22,2448
-24,3865
-25,4197
-25,5429
-26,494
-27,4177
-27,3424
-27,8146
-28,5535
-27,9788
-27,4314
-27,3014
-25,796
-23,1959
-21,0405
-18,3241
-14,4923
-11,1463
-8,61464
-5,43975
-3,25701
-2,92173
-2,79172
-2,70961
-4,44075
-6,26084
-7,23247
-8,62833
-10,0173
-9,64785
-8,69675
-7,99882
-5,91872
-2,88751
-0,7253
1,45744
4,23548
5,91872
6,50717
7,56775
7,75249
6,49348
5,48764
4,91972
3,19542
1,70377
1,21796
0,266856
-0,780039
-0,554238
-0,417389
-1,01268
-0,97847
-0,39002
-0,786882
-1,23848
-0,896361
-1,11532
-1,97063
-1,55324
-1,25901
-1,75851
-1,2727
-0,0821094
0,0889518
0,437917
1,6285
2,07326
1,66272
2,03905
1,87483
0,622663
